title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Gold,229000,효민,Sketch,,,KR,2016-03-14,,효민
Love Suggestion,197000,효민,バニスタ!,,,JP,2013-03-20,,효민
MANGO,189000,효민,MANGO,,,KR,2018-09-12,,효민
Nice Body (With 로꼬),209000,효민,Make Up,,,KR,2014-06-30,,효민
Road Trip,224000,효민,Sketch,,,KR,2016-03-14,,효민
눈물 한 방울 (YOU),217000,효민,Allure,,,XW,2019-02-20,,효민
"담(談,膽)",245000,효민,Make Up,,,KR,2014-06-30,,효민
아직은,211000,효민,Sketch,,,KR,2016-03-14,,효민
우리의 이야기를 우리만 모르는 채,213000,효민,Sketch,,,KR,2016-03-14,,효민
으음으음 (U Um U Um),175000,효민,U Um U Um,,,US,2019-01-20,,효민
입꼬리,173000,효민,Allure,,,XW,2019-02-20,,효민
척했어,190000,효민,Make Up,,,KR,2014-06-30,,효민
