release_id,title,status,release_date,country,artists
043a00e7-ae83-4f73-bc53-8368184a352d,[#],Official,2020-02-05,KR,이달의 소녀
04f45e09-c223-427b-a73f-0571afa08226,[+ +],Official,2018-08-20,,이달의 소녀
0a947115-7a1f-42f7-bd52-9bc3cd431b35,Choerry,Official,2017-07-28,KR,이달의 소녀
0b07c7c3-385d-46b1-b3eb-f680b94c2ca3,Kim Lip,Official,2017-05-23,KR,이달의 소녀
0bab4c21-c69f-4dc3-bc48-3e90e7fda468,[+ +],Official,2018-08-20,KR,이달의 소녀
0d800898-1b4a-491c-b7fe-f8770b7c67a0,[× ×],Official,2019-02-19,KR,이달의 소녀
0d8b1bbf-1e8c-42eb-86f3-56541d1e1f9b,Mix&Match,Official,2017-09-21,KR,ODD EYE CIRCLE
0f361a5d-b365-4c1d-bcab-2167a6feb083,HaSeul&ViVi,Official,2017-04-17,KR,이달의 소녀
1070b790-4569-48aa-a695-b864386f473d,Olivia Hye,Official,2018-03-30,US,이달의 소녀
11ffb685-694d-43b5-9a3d-65576b336219,Yves,Official,2017-11-28,KR,이달의 소녀
17bfc660-2b9e-44b1-970f-e18ef577a382,[× ×],Official,2019-02-19,KR,이달의 소녀
184d9cb3-1a4c-43d2-8aa6-0192f20c991e,[12:00],Official,2020-10-19,KR,이달의 소녀
1a37c667-5a46-42b3-ba00-8e8abaeed107,Love&Live,Official,2017-03-13,KR,이달의 소녀 1/3
1e1c2f04-f411-4e18-803d-c7d376b392ef,Chuu,Official,2017-12-28,US,이달의 소녀
263f107b-72ae-433a-a003-f8d290aa2686,Reboot,Official,2016-08-23,KR,Two X
2d959860-0fb6-4484-82da-690596825be2,Mix&Match,Official,2017-09-21,KR,ODD EYE CIRCLE
3111c251-ee01-4a10-89c9-953b86efad28,HeeJin,Official,2016-10-05,XW,이달의 소녀
317809d2-e818-4913-b22e-791346bbc8ea,[#],Official,2020-02-05,KR,이달의 소녀
3727059c-991b-4b65-96e0-4a962a4b8679,beauty&thebeat,Official,2018-05-30,KR,이달의 소녀 yyxy
3835716e-35e6-4a6c-b293-879980dcc242,favOriTe,Official,2018-08-07,US,이달의 소녀
38a2feb9-5ed8-4935-85db-1c331429d50f,Love&Evil,Official,2017-04-28,KR,이달의 소녀 1/3
3b083912-7d4e-4a71-a7f3-5f0d98f8d4ac,Max&Match,Official,2017-10-31,KR,ODD EYE CIRCLE
