release_id,title,status,release_date,country,artists,retrieved_label_name,query_label_name
058e1641-ea09-4b8f-a96c-f6b21ca61e2f,Hit U,Official,2012-01-27,KR,Dal★Shabet,Happyface Entertainment,Happy Face Entertainment
0616e878-626c-489c-9149-c00d4969fe71,Love Shake,Official,2015-07-01,XW,MINX,Happyface Entertainment,Happy Face Entertainment
09375e02-adc3-4073-9ea4-be3937a30c8c,악몽 · 惡夢,Official,2017-01-13,KR,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
0958c5d4-4f42-44f4-84b1-835c550c56f5,있기 없기,Official,2012-11-13,KR,Dal★Shabet,Happyface Entertainment,Happy Face Entertainment
0e496925-10d4-4006-ab85-4f72bc0d7e48,Alone in the City,Official,2018-09-20,XW,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
15907f54-8613-4531-b211-b2fa23906438,Prequel,Official,2017-07-27,XW,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
1992c560-3bb5-4f10-80e4-8e679ce76646,Beautiful,Official,2017-01-07,XW,SIYEON,Happyface Entertainment,Happy Face Entertainment
236871e3-42f6-4a42-b674-94d8bf703158,Alone in the City,Official,2018-09-20,KR,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
2380749d-5ec1-4d01-bafd-1cff6258fc01,Prequel,Official,2017-07-27,KR,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
267f396e-cb6d-4257-be0e-d86225c0bbd0,악몽,Official,2017-01-13,XW,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
2821f022-5dc5-43d2-92ff-de6c34a24b81,악몽 · Escape the ERA,Official,2018-05-10,KR,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
2aeb466a-ab80-478e-a356-dff14496407c,Bling Bling,Official,2011-08-11,KR,Dal★Shabet,Happyface Entertainment,Happy Face Entertainment
2c0efe55-7b12-4b96-bcea-a3da71f0e766,Fall Asleep in the Mirror,Official,2017-04-05,XW,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
36c11156-ddc4-44e3-95be-7a64309cb602,Secret Love Song,Official,2017-09-12,XW,YOOHYEON,Happyface Entertainment,Happy Face Entertainment
404fdf8c-9f69-4960-a163-365e0d0c5da0,달 Part 1,Official,2016-12-28,KR,달수빈,Happyface Entertainment,Happy Face Entertainment
406aee23-d280-4d71-a9e6-9ab861449848,Full Moon,Official,2018-01-12,KR,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
40cd6e1c-9eda-42c0-b544-0e16f128aa4d,Pink Rocket,Official,2011-04-18,KR,Dal★Shabet,Happyface Entertainment,Happy Face Entertainment
42717f48-b6b9-4784-8437-e690e4a1270f,Reason,Official,2015-06-12,XW,디셈버,Happyface Entertainment,Happy Face Entertainment
42ea427f-08a1-444b-ab68-8f93f54dc8bb,악몽 · Escape the ERA,Official,2018-05-10,KR,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
43dd537a-3b1b-4d49-b86a-6d0b714e2408,And There Was No One Left,Official,2019-03-05,XW,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
44e1a932-1391-4a6e-b64c-0b7011d5a447,이 곳,Official,2016-06-20,KR,달수빈,Happyface Entertainment,Happy Face Entertainment
487aca43-5862-4e9b-b8d0-19da250035d6,Naturalness,Official,2016-01-05,KR,Dal★Shabet,Happyface Entertainment,Happy Face Entertainment
4baf63c5-bb76-434f-ba7d-d304a6bf3211,PIRI,Official,2019-02-13,KR,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
4f426930-b62c-4007-9f91-735d6c4e5c7d,꽃,Official,2016-05-12,KR,달수빈,Happyface Entertainment,Happy Face Entertainment
5058bedb-16eb-423c-b5bd-cb4fb15d686d,Hit U,Official,2012-01-27,KR,Dal★Shabet,Happyface Entertainment,Happy Face Entertainment
564494d8-a9a9-42ab-b624-253e4687e28f,악몽·Fall asleep in the mirror,Official,2017-04-05,XW,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
574a6b27-a165-463a-8ce4-327372242b6e,Chase Me,Official,2017-01-12,XW,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
