release_id,title,status,release_date,country,artists
01799220-7454-4742-bfba-5ecb39cd520c,The 1st: Vanilla Rain,Official,2008-12-24,KR,Vanilla Acoustic
02ce8b42-b196-4e77-8560-45b86a4503ac,Dream High 2,Official,2012-03-26,KR,Various Artists
04dd49f6-f354-4aa6-8485-675dc65d85b2,SweeticS,Official,2008-02-21,KR,스윗 소로우
087899c4-4e83-4434-b4d1-3eb3a09eb47a,기도,Official,2011-08-05,KR,Sunny Hill
0acda501-e074-42e0-9439-d30d9f61382d,Let's go!,Official,2010-10-15,KR,Group of 20
0b9070e7-af75-4284-a875-a97c7e3a7ccf,더킹 투하츠 OST Part 4,Official,2012-05-02,KR,현성
0bf59ccf-ed5b-4c7d-89c7-cb6209c0bfed,스무 살의 봄,Official,2012-05-11,KR,IU
0ddd5297-1363-454a-8abf-c2dd822682d7,소풍,Official,2011-06-27,KR,민경훈
0e4f0079-afb2-4579-95d8-9d329cf98007,We Don't Stop,Official,2012-11-09,KR,FIESTAR
0efb6fc4-b9c5-4364-80c2-30a56663707f,Can You Hear Me OST Part 1 (OST),Official,2011-06-24,KR,지아
1294ad70-12ab-41bd-a684-31f39a6d5132,Sensitive Mammals,Official,2009-02,KR,Kim Dong Wook
1412adf4-9bff-4505-b2f5-090b1c6ccde3,LOEN TREE Summer Story,Official,2012-08-02,KR,로엔트리
148f444e-7dc1-49ce-8486-b5b99ba55ed0,미쳐서 그래,Official,2011-11-03,KR,더블에이
202e3768-4aa8-4ef0-a2cf-bd05091801ab,My Sweetie,Official,2012-12-07,,길미
238f1c72-e0ba-4cbd-93d7-9599dade838c,세상 어디에도 없는 착한남자 (KBS 수목드라마) OST - Part.4,Official,2012-10-31,KR,송중기
296647f3-13ff-41f7-a316-d8fb09d1ac2b,Goodbye’s The New Hello,Official,2013-03-18,KR,BLACKSWAN
29e3ad2d-0585-472a-8555-1fd54af6a23c,Boy's Universe,Official,2009-12-07,KR,안녕바다
2c6036bd-ee0c-42b6-9b1e-64244da2dded,The 4th Purple Dream Sound,Official,2010-12-10,,길미
305f6cc0-cdfc-4f13-8b5d-f835f67c9f44,Carry On,Official,2012-08-21,KR,ALi
30a2aefd-1796-4acd-bcb9-b57a3c42cd82,Apollo 18,Official,2009-07-23,KR,Apollo 18
31270348-8f1e-47da-87df-94fef1dd8f27,조영수 All Star - 오렌지캬라멜,Official,2011-12-16,KR,Orange Caramel
34c92f2c-52ed-463b-b159-1dedb3878c2b,2nd Story : 두 번째 비,Official,2009-06-30,KR,Vanilla Acoustic
39947bf6-2d9e-4d50-bf43-cce17f495553,Midnight Circus,Official,2011-06-03,KR,Sunny Hill
3a1b6be7-7781-43c6-be3b-63f7af1adcd3,re;code Episode III,Official,2013-04-05,KR,"Sunny Hill, Daybreak"
3c134ce7-e6aa-4ff0-a2b3-07928242ef16,Sensibility,Official,2008-11-13,KR,백지영
3c2585e7-8e44-41ec-b3f9-54692af4a23c,Wicked,Official,2012-08-24,KR,"FIESTAR, Tiger JK"
3c35893b-4807-4307-adfc-f4164a70b7cd,카인과 아벨 OST,Official,2009-02-24,KR,소지섭
3fbd20d6-7d96-48ff-ab82-d17fd6eab918,욕망의 불꽃 OST Vol.2,Official,2010-11-26,,길미
421d1bc4-40ec-4d3a-bd33-56837039a9c9,Growing Up,Official,2009-04-27,KR,IU
422c8f3a-99ec-4a17-a511-26625c5e31c5,Be quiet,Official,2011-10-25,,김완선
439fe4a3-c132-40ef-a428-df7e6c44cc01,RACER,Official,2012-07-30,KR,ChAOS
43dcd7dd-baf0-4d05-916a-f1fdf437d60a,Dream High,Official,2011-02-24,KR,Various Artists
44261e1b-468b-4b15-b329-623783b7a647,Orchestra,Official,2009-04-02,KR,지아
447b5428-0647-4ca5-b1e8-0fc371699e1a,Come Back,Official,2013-03-27,KR,더블에이
44cfad82-f5c6-483d-bbae-13b80a056379,매직드래그 (Magic Drag),Official,2010-05-19,KR,"장근석, Hyolyn"
46808017-71ee-471d-b89d-ef1977e18e67,Personal Taste,,2010-04-26,KR,Various Artists
46c4f399-3c6a-498c-b816-fc9aefda5979,REAL+,Official,2011-02-17,KR,IU
4700cb5a-0349-4f95-bc0e-23e4f6b59e7b,LOEN TREE Summer Story,Official,2012-08-01,XW,로엔트리
4b45a33a-37f7-4c3d-823e-903d22f6f46b,Good Good Han Koyote,Official,2011-08-19,KR,코요태
4d4ea22d-24fa-4fac-8c50-665669a4564e,Mucho Beat,Official,2009-11-26,KR,Clazziquai Project
4f15611b-6db2-49ce-ba1c-a4533ce08f0b,Young Folk,Official,2013-06-19,KR,Sunny Hill
4f281925-bc37-4551-9207-d08275da09c9,VISTA,Official,2012-08-31,KR,FIESTAR
54f004c1-f214-4602-9bf6-322538a8d4cb,Another Secret,Official,2008-09-05,KR,Nastyona
5f0c4841-1449-40dc-b174-1cc82733cbb2,Happy Pledis 2012 ' Love Letter ',Official,2011-12-01,KR,"After School, 손담비, Orange Caramel"
615e3884-0ad0-4900-bfc6-ee9570c5bd1a,Sweet Love,Official,2012-11-05,KR,"FIESTAR, 김연우"
6653f290-e4f4-46a2-846c-d71ad4a43ec1,Young Folk,Official,2013-06-19,KR,Sunny Hill
6e4493a4-82cd-4fc9-a11e-84a0bd286f6f,잔소리,Official,2010-06-03,KR,IU
756ee305-b978-4f3f-8f81-c59e69090deb,Romantic Spring,Official,2013-04-08,KR,"가인, 조형우"
768c7fb0-9593-4092-9bd7-37779db94995,Victory,Official,2010-03-08,KR,조PD
7a8931e1-7f82-4079-906f-81588174f166,VISTA,Official,2012-08-31,KR,FIESTAR
7fa9f277-95a4-44af-aeeb-1a399d084b7b,Koyote Ugly,Official,2010-06-10,KR,코요태
82ca2844-d197-49a6-9908-321e06d7e75e,Nostalgia (노스텔지아),Official,2011-11-30,KR,가인
8344b540-d17d-4332-8c50-14c4e520d04d,Apollo 18,Official,2009-02-12,KR,Apollo 18
889028b7-4825-4c89-a5ae-831705f1d6e3,"그 겨울, 바람이 분다 OST",Official,2013-05-16,KR,Various Artists
8baa9954-50fe-4f25-b460-17d5f1288dd5,AsuRa BalBalTa,Official,2011-08-16,KR,리쌍
8ca2ed77-2482-4e80-9d98-435c9f3589f3,뒹굴뒹굴,Official,2013-03-07,KR,더블에이
8d711a43-f2e5-450b-97bb-2178bcf0ed45,The Ballads,Official,2006-10-10,KR,성시경
8da84495-42df-485d-a828-b006d63fad28,내가 먼저,Official,2012-07-13,,길미
8de24d19-7824-4f77-a9ed-cc5468fc86e8,Apollo 18,Official,2010-01-19,KR,Apollo 18
94609576-7cbb-4dd4-8a5d-aa30e9f3915d,I Remember,Official,2011-08-12,KR,"방용국, 양요섭"
969cc34c-354c-4300-a752-63b98e1f092a,Mingle,Official,2010-03-11,KR,소히
9c643451-4848-4a26-98c9-9823f702008f,Virgin,Official,2011-05-03,KR,After School
9cfadd8f-07b9-4f56-ba1a-dbb92d2a04fd,Star 2,Official,2005-03-19,,별
a002460e-0ebb-4d05-87c0-4bf6457574f0,다시 꿈꾸고 싶다,Official,2005-04-07,KR,성시경
a5a83775-4fd0-4468-bffe-baba0c80c7b5,10 ways to say I love you,Official,2009-06-11,KR,박정현
a6f24b03-baf9-4524-acbf-8d640fa8b68f,LOST and FOUND,Official,2008-09-24,KR,IU
aa71d620-225a-414c-bf79-3bcbf77cf580,Painkiller,Official,2012-02-08,KR,SPICA
aa9d04ed-ea5c-48e2-a15e-796c4d2f1c8d,2010 (deluxe edition),Official,2010-01-25,KR,박미경
ad06128f-9534-408c-9d6a-a35d09694f54,Antique Romance,Official,2012-12-17,KR,Sunny Hill
ae84c0cb-be25-4f92-9792-cc5577948266,복숭아,Official,2012-05-04,KR,IU
b328b8bf-e51d-40d5-a008-6a67c434ed2d,We Don't Stop,Official,2012-11-09,KR,FIESTAR
b3a175f2-eb32-4dc5-b4a1-cce5381d2d5f,iu…im,Official,2009-11-12,KR,IU
b3b8e3a2-958d-4e7f-b38b-ba1ed457985d,Last Fantasy,Official,2011-11-29,KR,IU
b45f6a25-5d0c-4c28-8720-73c64be8421d,Lonely,Official,2012-11-21,KR,SPICA
b6002453-704f-4b01-9738-87f34cd65618,Hakuna Matata,Official,2011,KR,Piggy Dolls
b6b41cf6-d3d5-4f89-ae56-5cba5b10f4d9,REAL,Official,2010-12-09,KR,IU
b844df3a-7096-4961-8919-b6383c5a3ed7,The 1st Purpledream Sound,Official,2009-06-30,,길미
bb2c5865-4982-4e87-8d24-6791de216b6d,INFANT,Official,2012-01-17,KR,클래지
bb50a62e-a8d6-4b5d-86ba-ba2fe2f35aaa,My Style,Official,2008-09-16,KR,Brown Eyed Girls
c2dd972c-e344-4694-a3d9-fd6bbfd8e755,Timeless; The Best,Official,2010-07-05,KR,백지영
