release_id,title,status,release_date,country,artists,retrieved_label_name,query_label_name
052207d2-fed9-4bb9-af83-1ad9a3da913f,우리가 사랑할수 있을까 OST Part 4,Official,2014-03-04,KR,LC9,NEGA NETWORK,Nega Network
08c8b371-f697-45ba-baa0-205f5932b716,Just JeA,Official,2013-01-04,KR,제아,NEGA NETWORK,Nega Network
0b7cf67f-0dc9-4ddc-a80d-edf244cb84c2,Sixth Sense,Official,2011-09-23,KR,Brown Eyed Girls,NEGA NETWORK,Nega Network
0f67b79a-65ed-4876-b9f2-70ce758752ef,오늘밤 (Tonight),Official,2013-11-11,KR,"미료, NARSHA",NEGA NETWORK,Nega Network
17bde1bb-25df-4fce-b719-a89c5ce89a44,SKIRMISH,Official,2013-05-09,KR,LC9,NEGA NETWORK,Nega Network
1f7348c1-3a21-4a2e-b859-4fa95acea3bd,Abracadabra,Official,2009-07,KR,Brown Eyed Girls,NEGA NETWORK,Nega Network
2dc6baff-e90b-415d-84dd-09e4fad68ddb,떠나라 미스김,Official,2007-09-06,KR,Brown Eyed Girls,NEGA NETWORK,Nega Network
2ed4d996-6874-4884-9a86-f7b91d36930d,Black Box,Official,2013-07-29,KR,Brown Eyed Girls,NEGA NETWORK,Nega Network
301c6eef-dc26-40fc-82c8-50c665ee8550,Your Story,Official,2006-03-02,KR,Brown Eyed Girls,NEGA NETWORK,Nega Network
3626f794-2b9d-42a6-877d-126c674910f3,Bad Temper,Official,2010-12-21,US,가인,NEGA NETWORK,Nega Network
36b8d394-59ae-4b6a-b2ae-0611be523879,Sixth Sense,Official,2011-11-09,KR,Brown Eyed Girls,NEGA NETWORK,Nega Network
38e509be-9355-4d42-8748-af18247d05a2,My Style Hidden,Official,2008-10-30,KR,Brown Eyed Girls,NEGA NETWORK,Nega Network
3a891597-9ad7-4db5-a769-4b84a4405cdb,My Style,Official,2008-09-16,KR,Brown Eyed Girls,NEGA NETWORK,Nega Network
3ed8c9c1-0f15-49bd-94f0-cb94c058bd34,레시피,Official,2013-07-09,KR,Brown Eyed Girls,NEGA NETWORK,Nega Network
449ebaca-58f1-47fa-9b8e-76e538c30304,Talk about S.,Official,2012-10-05,,가인,NEGA NETWORK,Nega Network
47b5a279-5583-4535-bf23-a11af2705a83,Fly to Love,Official,2013-04-03,KR,LUNAFLY,NEGA NETWORK,Nega Network
52644040-a33c-43b6-96c9-512b67f90f43,PETIT MACARON,Official,2014-08-28,KR,LABOUM,NEGA NETWORK,Nega Network
52fc011e-7e75-4ac1-bd01-313dbb8dba29,QUEEN,Official,2015-07-30,KR,미료,NEGA NETWORK,Nega Network
533e6e59-fe05-41a0-80fe-d41bd32919ac,Must Have LOVE,Official,2006-11-06,KR,"김용준, 가인",NEGA NETWORK,Nega Network
5593926c-39ad-47ba-bbff-326291f1b771,MIRYO AKA JOHONEY,Official,2021-01-08,XW,미료,NEGA NETWORK,Nega Network
