release_id,title,status,release_date,country,artists
08e6ebcc-80fd-43eb-80d3-b7a33c03cb8e,Lovelyz8,Official,2015-10-01,KR,Lovelyz
0a9e733e-0be8-49b2-855b-bc5ebbb4ffa9,Let's Take A Walk,Official,2007-06-25,XW,NELL
12c6e555-6022-3c46-b7fa-c991d34c8c1f,High Society,Official,2004-07-26,KR,Epik High
12e4d632-d332-4590-b823-38b68fa42aec,Reality,Official,2015-07-13,KR,INFINITE
156e8e54-d9d2-4145-a797-5610247c3410,너만 없다 ALONE,Official,2013-11-08,US,진
179fdb80-5e35-42b2-a4a6-2b95cd14749a,EVOLUTION,Official,2011-01-06,KR,INFINITE
19c6ca07-fa9e-469c-a56a-145ade212d56,New Challenge,Official,2013-03-25,KR,INFINITE
19f663ca-76d7-475f-893c-f0a84af5dd13,INFINITIZE,Official,2012-05-15,KR,INFINITE
1bc6cdcc-53c1-4f40-873a-ef25adc9cb54,Season 2,Official,2014-05-21,XW,INFINITE
1e056849-1e6e-427f-8bcf-c21c8d76ee21,Healing Process,Official,2006-09-21,KR,NELL
1e14d997-ec8b-4864-b9dc-ac1e90890d44,GALAXY Music,Official,2013-09-27,XW,INFINITE
1f6187ab-57ab-40d6-ba81-994db7762f3c,Fly High,Official,2013-01-11,KR,INFINITE H
20511309-f6ab-43ec-81bb-fad483156f8c,New Challenge,Official,2013-03-25,KR,INFINITE
20e2b9af-3d5b-4c21-965a-f29aeff44db4,靑,Official,2014-12-01,KR,INFINITE F
2226c41a-e094-4d63-aaa3-f2455c366e6d,Another Me,Official,2012-11-19,KR,김성규
229a508a-b6ed-4474-a151-8e578705c4d1,The Trace,Official,2008-11-27,KR,NELL
25945195-88cd-476b-abd9-ca87590f0da8,Swan Songs,Official,2005-10-06,KR,Epik High
25b875e1-d200-4d0c-855e-1a731921c2ce,Destiny,Official,2013-07-16,KR,INFINITE
2974b402-b7bf-46a8-81d0-89226a2a8d13,Over The Top,Official,2011-07-21,KR,INFINITE
29a6db77-d90d-488d-8b86-cce882b9451e,Soundtrack to a Lost Film,Official,2007-12-10,KR,Eternal Morning
2dc08617-570a-4859-8773-2983a3d5af39,Spectacular,Official,2013-08-08,KR,TASTY
2fc5ce4a-f43d-4c38-8910-076a9e10882a,27,Official,2015-05-11,KR,김성규
31ed682c-fce9-4829-bd81-aa76ff1aece3,A New Trilogy,Official,2016-04-25,KR,Lovelyz
32bcad1f-71c7-49fd-a51f-3ff90177c58c,INFINITE ONLY,Official,2016-09-19,KR,INFINITE
38b5e770-24f7-40eb-978d-748c6d66bcb1,GIRLS' INVASION,Official,2014-11-17,XW,Lovelyz
38d5cffd-58c0-4391-bcfc-c4164d9e0952,Fly Again,Official,2015-01-26,KR,INFINITE H
3a247b90-57dd-4cdd-aa89-c4d67c4df9b4,FIRST INVASION,Official,2010-06-09,KR,INFINITE
3c35d0ff-48c9-4b5e-8fb8-dc626c6f2a1d,3인칭의 필요성,Official,2015-12-02,KR,NELL
4052283a-4da5-41c5-a5f3-0051c12556f8,Inspirit,Official,2011-03-17,XW,INFINITE
423d6c62-b398-404a-a203-9de93a16d363,靑,Official,2014-12-02,KR,INFINITE F
472eb80f-5d7e-4916-9bd7-b30f8ccb67b6,어제처럼 굿나잇,Official,2014-11-10,KR,Lovelyz
4d0ccc4a-01b1-431c-b550-c96f9b770f3c,New Challenge,Official,2013-03-25,KR,INFINITE
511aa813-25aa-42f2-b972-84b257c9efb0,Let's Take A Walk,Official,2007-06-25,KR,NELL
536d3a19-2671-45c0-b1a5-f3a0442a329a,PARADISE,Official,2011-09-26,KR,INFINITE
57b6c218-6dd4-41b2-bc29-eecbd0f059a6,Alive Soul Cuts Vol. 1,Official,2008-08-12,KR,Pe2ny
5b138872-02f7-434d-9dd3-87b3f44204d6,Destiny,Official,2013-07-16,KR,INFINITE
62a3af5d-580a-4723-9b2d-a594db69256a,Delight,Promotion,2013-04,KR,유지애
688724cd-b515-42b9-9669-3bc24ae67229,Lovescream,Official,2008-10-02,KR,Epik High
6f7e2ad7-f73b-4de7-8f4e-4b7bb92639fd,Write..,Official,2016-05-09,KR,남우현
70770aa6-211a-46cf-b48e-637727ad05dc,The Origin,Official,2014-04-10,XW,INFINITE
70a290b2-9964-47a2-b174-4c0165bd2463,Lovelinus,Official,2015-12-07,KR,Lovelyz
73995097-9e92-4442-a264-ec837aec1cd8,Girls' Invasion,Official,2014-11-17,KR,Lovelyz
73bce1a2-67af-44fe-b5f1-4a159de48346,Separation Anxiety,Official,2008-03-14,KR,NELL
7eead2d6-b125-456f-a84e-22920e002ea3,Fly High,Official,2013-01-11,KR,INFINITE H
8352a80b-abc8-442c-acfa-e839c5928531,Hi~,Official,2015-03-03,KR,Lovelyz
84fa8e1f-144a-420a-9491-4b968be98cfd,Season 2,Official,2014-05-21,KR,INFINITE
884cbc02-239f-4ba6-ab32-e708ca21f544,New Challenge,Official,2013-03-25,KR,INFINITE
8a1423b3-294f-3874-ad9c-11c27e858d25,Black Swan Songs,Official,2006-02-10,KR,Epik High
8c6c1d58-95ed-42e8-bb06-eae7199295d8,SPECTACULAR,Official,2013-08-08,KR,TASTY
900bc288-44f9-466e-a3ee-8fb36bcb1e8a,ADDICTION,Official,2014-08-13,KR,TASTY
9083326a-3f35-47de-a52d-8673054d0447,Map of the Human Soul,Official,2003-10-21,KR,Epik High
90ef1fed-96fe-4c09-9d41-c38a8489cfb4,Remapping the Human Soul,Official,2007-01-23,KR,Epik High
93874112-59f0-4720-b65f-ee2bd678691b,A New Trilogy,Official,2016-04-25,XW,Lovelyz
94714936-2f17-4801-8388-0865cf3da83f,Slip Away,Official,2012-04-10,KR,NELL
949b0a69-4b45-44e1-a559-4b48e5f0e373,Azure,Official,2014-12-01,JP,INFINITE F
97f20038-df1b-404d-bf87-8370fddad828,Request,Official,2013-09-27,XW,INFINITE
98c8d16d-78e4-4e17-8549-39f434d950dc,INFINITIZE,Official,2012-05-15,KR,INFINITE
9b391e80-5a2a-4dcb-8551-528a8b6e01f4,Lovelinus,Official,2015-12-08,KR,Lovelyz
9b50e32e-8909-41e3-87e0-d14f4048a287,New Challenge,Official,2013-03-25,KR,INFINITE
9c38e4c3-4a64-44ed-9545-b94e0a685260,작별하나,Official,2015-09-14,KR,Lovelyz
9d1867f8-5fa1-45d6-a827-69f73d034865,INFINITE ONLY,Official,2016-09-19,KR,INFINITE
9e9d7f1a-ed87-4645-bf2e-851618a7e907,Reality,Official,2015-07-13,KR,INFINITE
a23e8a14-a28f-4af3-b9e5-59694e284319,Lovelyz8,Official,2015-10-01,XW,Lovelyz
a29d4d6c-49e0-43fa-b4a9-a22d317b4ecd,New Challenge,Official,2013-03-25,KR,INFINITE
a68c71d6-a432-464b-b354-0b2e1e514a31,epilogue,Official,2010-03-09,KR,Epik High
a85bd949-c76d-46b6-9453-d13a95384f5f,High Society,Official,2006-04-04,KR,Epik High
ad210ce1-04d4-4bb7-aa21-49221727e868,INFINITIZE,Official,2012-05-15,XW,INFINITE
add74447-1eb5-47de-89b2-05fe39e8fc41,떠나가,Official,2013-11-29,KR,TASTY
