title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist,year
Badster,193000.0,HYO,Badster,,,KR,2019-07-20,,HYO,2019
DEEP,179000.0,HYO,DEEP,,,KR,2022-05-16,,HYO,2022
DESSERT,200000.0,"HYO, Loopy, JEON SOYEON",DESSERT,,,AF,2020-07-22,,HYO,2020
Don't Stop The Music,214000.0,HYO,2011 GIRLS GENERATION TOUR,,,KR,2013-04-11,,HYO,2013
Good to Be Alive,202000.0,"HYO, KEY, CHEN, JOHNNY, 宁宁, GINJO, Raiden, IMLAY, Mar Vista",2022 Winter SMTOWN : SMCU PALACE,,,KR,2022-12-26,,HYO,2022
I Do What I Want,205906.0,"HYO, 이영지",GOOD GIRL FINAL,,,AF,2020-07-03,,HYO,2020
Mystery,182000.0,HYO,Mystery,,,KR,2016-12-02,,HYO,2016
Picture,198484.0,HYO,Picture,,,XW,2023-08-22,,HYO,2023
Punk Right Now,178000.0,"HYO, 3LAU",Punk Right Now,,,XW,2018-11-13,,HYO,2018
Second,218000.0,"HYO, BIBI",Second,,,XW,2021-08-09,,HYO,2021
Sober,178000.0,"HYO, Ummet Ozcan",Sober,,,KR,2018-04-18,,HYO,2018
Stupid,172000.0,HYO,DEEP,,,KR,2022-05-16,,HYO,2022
TURL,194000.0,"HYO, CHEETAH",Good Girl (Episode 1),,,XW,2020-06-05,,HYO,2020
Wannabe,183000.0,"HYO, San E",Wannabe,,,KR,2017-06-01,,HYO,2017
Artist,,DAMI,Halloween Midnight Circus,,,KR,2021-10-30,,DAMI,2021
Beauty Full,183600.0,DAMI,[Apocalypse : Save us],,,KR,2022-04-12,,DAMI,2022
Butterfly,211000.0,DAMI,Butterfly,,,XW,2021-06-29,,DAMI,2021
Destiny,149000.0,DAMI,Destiny,,,KR,2023-09-23,,DAMI,2023
Once upon a time,95000.0,DAMI,Once upon a time,,,XW,2019-10-03,,DAMI,2019
Rainism,,DAMI,Dystopia: Seven Spirits Live Band Set,,,XW,2020-11-07,,DAMI,2020
Rockabye,159000.0,DAMI,Rockabye,,,XW,2020-11-04,,DAMI,2020
Before the Song Ends,190000.0,"JJ Project, Suzy",Bounce,,,,2012-05-20,,JJ Project,2012
Bounce,196000.0,JJ Project,Bounce,,,,2012-05-20,,JJ Project,2012
Coming Home,213000.0,JJ Project,Verse 2,,,KR,2017-07-31,,JJ Project,2017
Don't Wanna Know,222000.0,JJ Project,Verse 2,,,KR,2017-07-31,,JJ Project,2017
Fade Away,,JJ Project,Verse 2,,,KR,2017-07-31,,JJ Project,2017
Find You,242000.0,JJ Project,Verse 2,,,KR,2017-07-31,,JJ Project,2017
Hooked,193000.0,JJ Project,Bounce,,,,2012-05-20,,JJ Project,2012
Icarus,224000.0,JJ Project,Verse 2,,,KR,2017-07-31,,JJ Project,2017
On&On,212000.0,JJ Project,Verse 2,,,KR,2017-07-31,,JJ Project,2017
Pump This Party,,JJ Project,Wigan Pier Volume 50,,,,2005,,JJ Project,2005
그날,,JJ Project,Verse 2,,,KR,2017-07-31,,JJ Project,2017
"내일, 오늘",235000.0,JJ Project,Verse 2,,,KR,2017-07-31,,JJ Project,2017
Closer,155000.0,JIHYO,ZONE,,,,2023-08-18,,JIHYO,2023
Don't Wanna Go Back,224000.0,"JIHYO, Heize",ZONE,,,,2023-08-18,,JIHYO,2023
I FLY,230000.0,JIHYO,오늘의 웹툰 (Original Soundtrack) Pt. 1,,,XW,2022-07-29,,JIHYO,2022
JIHYO's Special Message to ONCE,,JIHYO,ZONE,,,US,2023-08-24,,JIHYO,2023
Killin' Me Good,186000.0,JIHYO,ZONE,,,KR,2023-08-18,,JIHYO,2023
Nightmare,216000.0,JIHYO,ZONE,,,,2023-08-18,,JIHYO,2023
Room,178000.0,JIHYO,ZONE,,,,2023-08-18,,JIHYO,2023
Stardust love song,252000.0,JIHYO,스물다섯 스물하나 OST,,,KR,2022-04-03,,JIHYO,2022
Talkin' About It,171000.0,"JIHYO, 24kGoldn",ZONE,,,KR,2023-08-18,,JIHYO,2023
Wishing on You,194000.0,JIHYO,ZONE,,,,2023-08-18,,JIHYO,2023
당돌한 여자,185533.0,"JIHYO, NAYEON, 子瑜, 채영",투유 프로젝트 - 슈가맨 Pt.11,,,XW,2015-12-30,,JIHYO,2015
이상한 하루,234000.0,JIHYO,"Summer Strike, Pt. 1 (Original Soundtrack)",,,XW,2022-11-14,,JIHYO,2022
Icy Lady,,ChAOS,RACER,,,KR,2012-07-30,,ChAOS,2012
Kiss Kiss,,ChAOS,Kiss Kiss,,,KR,2012-09-21,,ChAOS,2012
Last Night,204000.0,ChAOS,그녀가 온다,,,KR,2012-01-06,,ChAOS,2012
그녀가 온다,165000.0,ChAOS,그녀가 온다,,,KR,2012-01-06,,ChAOS,2012
레이서,,ChAOS,RACER,,,KR,2012-07-30,,ChAOS,2012
빨리가,,ChAOS,RACER,,,KR,2012-07-30,,ChAOS,2012
설레고 난리 (Falling in love),192000.0,우진영 & 김현수,PRESENT,,,KR,2018-06-14,,우진영 & 김현수,2018
White Winter,218493.0,Woojoo jjokkomi,STATION X 4 LOVEs for Winter Part.3,,,XW,2019-12-15,,Woojoo jjokkomi,2019
2Nite,200000.0,P1Harmony,Killin' It,,,XW,2024-02-05,,P1Harmony,2024
AYAYA,150533.0,P1Harmony,DISHARMONY : BREAK OUT,,,XW,2021-04-20,,P1Harmony,2021
Back Down,168053.0,P1Harmony,HARMONY : SET IN,,,XW,2022-11-30,,P1Harmony,2022
Before The Dawn,260720.0,P1Harmony,DISHARMONY : FIND OUT,,,XW,2022-01-03,,P1Harmony,2022
BFF (Best Friends Forever),160040.0,P1Harmony,HARMONY : SET IN,,,XW,2022-11-30,,P1Harmony,2022
Black Hole,193506.0,P1Harmony,HARMONY : ZERO IN,,,XW,2022-07-20,,P1Harmony,2022
Bop,199680.0,P1Harmony,DISHARMONY : FIND OUT,,,XW,2022-01-03,,P1Harmony,2022
Butterfly,200346.0,P1Harmony,DISHARMONY : STAND OUT,,,XW,2020-10-28,,P1Harmony,2020
Countdown To Love,165000.0,P1Harmony,Killin' It,,,XW,2024-02-05,,P1Harmony,2024
Different Song For Me,188786.0,P1Harmony,HARMONY : ZERO IN,,,XW,2022-07-20,,P1Harmony,2022
Do It Like This,192093.0,P1Harmony,DISHARMONY : FIND OUT,,,XW,2022-01-03,,P1Harmony,2022
Emergency,164000.0,P1Harmony,Killin' It,,,XW,2024-02-05,,P1Harmony,2024
Everybody Clap,201000.0,P1Harmony,Killin' It,,,XW,2024-02-05,,P1Harmony,2024
Fall In Love Again,204000.0,P1Harmony,Fall In Love Again,,,XW,2023-11-09,,P1Harmony,2023
Follow Me,214400.0,P1Harmony,DISHARMONY : FIND OUT,,,XW,2022-01-03,,P1Harmony,2022
Heartbeat Drum,183747.0,P1Harmony,HARMONY : ALL IN,,,XW,2023-06-08,,P1Harmony,2023
I Am You,220627.0,P1Harmony,HARMONY : ALL IN,,,XW,2023-06-08,,P1Harmony,2023
I See U,172000.0,P1Harmony,Killin' It,,,XW,2024-02-05,,P1Harmony,2024
If You Call Me,208733.0,P1Harmony,DISHARMONY : BREAK OUT,,,XW,2021-04-20,,P1Harmony,2021
Intro; 틀 (Breakthrough),83306.0,P1Harmony,DISHARMONY : STAND OUT,,,XW,2020-10-28,,P1Harmony,2020
JUMP,163280.0,P1Harmony,HARMONY : ALL IN,,,XW,2023-06-08,,P1Harmony,2023
Late Night Calls,161000.0,P1Harmony,Killin' It,,,XW,2024-02-05,,P1Harmony,2024
Let Me Love You,193000.0,P1Harmony,Killin' It,,,XW,2024-02-05,,P1Harmony,2024
Love Me For Me,184907.0,P1Harmony,HARMONY : ALL IN,,,XW,2023-06-08,,P1Harmony,2023
Mirror Mirror,188733.0,P1Harmony,HARMONY : ZERO IN,,,XW,2022-07-20,,P1Harmony,2022
More Than Words,176587.0,P1Harmony,HARMONY : ALL IN,,,XW,2023-06-08,,P1Harmony,2023
New Classic,182067.0,P1Harmony,HARMONY : ALL IN,,,XW,2023-06-08,,P1Harmony,2023
One And Only,200173.0,P1Harmony,HARMONY : SET IN,,,XW,2022-11-30,,P1Harmony,2022
Peacemaker,205426.0,P1Harmony,DISHARMONY : FIND OUT,,,XW,2022-01-03,,P1Harmony,2022
